recipient,amount
0xaa7c8a911f90db893235abd16cc353d8eb76570f,0.12
0x2a575837c5924f05ac7a5633eaaac82c6898c689,0.18
0xbed45fdf5ed82ae94c6fe5051101ed56d6b298b1,0.26
0x82cd04ea29b937280ed4bda0ed3dd6f745d6304b,0.11
0xd3dc16d315a0921db82e3d763869a86c2744f553,0.25
0xebd65d1b26f715fc87caf1c12f0cad36ce44fdf5,0.29
0xc610fb0f2a4beff8ab603a385b3209e13f999d54,0.39
0x1cb6020db373a3e1cfcda9489570933fd0f79d0d,0.48
0xe099d137bf40caeaab9a8fc1c9a3a6f645667edc,0.75
0x1ac5b85d320e8c722f18872d7c5e7064c77bd263,0.50
0x0ad438bd491418896acf370d575fcaa7470717bc,1.62
0x1f77c055332c06ca54f7a06f882b31fb1df0ac2a,1.99
0xb120a93978332d39ed49ea728d69817f6b457dc0,2.11
0xfeba472cecfc9de6b698f3a36f9c6938eb9cf2b5,1.87
0xe2c72dcf60ec2892fd3002561b730b8b6c750eed,0.42
0x1a25242f62165b5002ca0903f02bc1da9be1e0f8,2.51
0x8989e224b29c80913aff11c92e9c5cb3faf233e5,1.01
0x64d02b1f912f4a1324ad11e54a11d67eab7175e0,3.36
0x7e298500a06b10c845c4d9ae86914ed3af0c65ae,0.14
0x1794ca36ad1755b1505779f5a1f9217fb5290aad,3.64
0x91f27e47f7a363539eee7a07ac5e9d12fe477c70,4.85
0xa04275c10f39e8675a34e147e2ef78d35129f2b6,5.10
0x20542ca974c0076d381781f5f9a8e7a311948940,4.96
0xe9256e02617c4509307e49a2d9ef5daafac384f4,2.27
0x2bbbafe7196f0bbe3a28b9980c1cc7545b424caf,5.39
0xc5f6e1c3fe7078a09f3d8d05b0e883d1c22a1489,6.10
0xc8728ae130381eb77fc9a8b715564b00e83e19df,5.76
0xdb68c0f5f08bbe0f4dd18c9cf409b2e46316d69e,2.07
0x6c9919762fd9a8d99e8123f7ddb55c82f53aab0f,9.39
0x87f16c31e32ae543278f5194cf94862f1cb1eee0,3.04
0x2b44d9764fbbd2b07fbc48212aee4da331806062,4.28
0x6c30b5471e42e2d47c18b98df187f35edbab8357,13.26
0x53f2736fae551c998d4e72e519f1acf474264de4,12.69
0xe1cfb17e6521e1f26708c4cb4e86a0f9fa564de2,28.92
0x10534d4e612071e6b6480c498dd8bdb8f51b9ed7,28.63
0xbd3df1969b930ac3521552af2947cef0c1638107,29.24
0x98c287a6a44216a88d3d94286ff7cc6f9e9e2a63,38.55
0xca1146c1d1b26ca782f7388096462189fb09113f,47.11
0xcf7c4feb434751146a48b895e96caeb15838f92c,89.94
0xc9eb41a0c6bb1061e5bafcd3e6c379eecb127a9a,78.17
0x6826be6819eee574b89b886289c454c4e9b73b6d,1015.72
0xa60b57183494973d6f5dad9d967ca90982167455,1104.96
